"Id";"Calculo";"Algebra";"Fisica"
364;"A";"R";"R"
365;"R";"R";"R"
366;"R";"A";"A"
367;"R";"R";"A"
368;"R";"A";"A"
369;"A";"R";"R"
370;"A";"R";"A"
371;"R";"R";"R"
372;"A";"A";"A"
373;"R";"A";"R"
374;"A";"R";"R"
375;"A";"R";"A"
376;"R";"R";"R"
377;"R";"A";"A"
378;"A";"R";"A"
379;"R";"A";"R"
380;"R";"R";"A"
381;"A";"R";"R"
382;"A";"A";"A"
383;"A";"R";"A"
384;"A";"A";"R"
385;"A";"A";"R"
386;"A";"R";"R"
387;"R";"A";"A"
388;"A";"A";"A"
389;"R";"R";"A"
390;"A";"R";"A"
391;"R";"R";"R"
392;"A";"R";"R"
393;"R";"A";"A"
394;"A";"A";"R"
395;"R";"R";"R"
396;"R";"R";"A"
397;"A";"R";"R"
398;"R";"R";"R"
399;"R";"A";"A"
400;"A";"R";"A"
401;"R";"A";"R"
402;"A";"A";"R"
403;"R";"R";"R"
404;"R";"R";"R"
405;"R";"A";"A"
406;"R";"A";"R"
407;"A";"A";"A"
408;"R";"A";"A"
409;"R";"A";"A"
410;"A";"R";"A"
411;"A";"R";"A"
412;"R";"A";"R"
413;"R";"A";"R"
414;"A";"R";"A"
415;"R";"R";"R"
416;"R";"R";"A"
417;"A";"A";"R"
418;"R";"R";"A"
419;"A";"A";"R"
420;"R";"R";"R"
421;"R";"R";"R"
422;"A";"R";"A"
423;"R";"R";"A"
424;"A";"A";"A"
425;"A";"R";"R"
426;"A";"R";"A"
427;"A";"A";"R"
428;"A";"A";"A"
429;"A";"R";"R"
430;"R";"R";"A"
431;"A";"A";"R"
432;"R";"R";"R"
433;"A";"A";"R"
434;"R";"A";"R"
435;"R";"R";"A"
436;"R";"A";"A"
437;"A";"R";"R"
438;"R";"R";"R"
439;"R";"A";"R"
440;"R";"R";"A"
441;"R";"R";"R"
442;"R";"R";"A"
443;"R";"R";"A"
444;"R";"A";"A"
445;"R";"R";"R"
446;"R";"R";"R"
447;"R";"A";"R"
448;"A";"A";"R"
449;"R";"R";"A"
450;"R";"A";"A"
451;"A";"R";"R"
452;"A";"A";"R"
453;"A";"R";"A"
454;"R";"A";"R"
455;"A";"R";"R"
456;"R";"A";"A"
457;"R";"R";"R"
458;"R";"R";"A"
459;"A";"R";"A"
460;"R";"R";"A"
461;"R";"R";"R"
462;"R";"A";"A"
463;"A";"A";"A"
464;"R";"R";"A"
465;"R";"R";"R"
466;"A";"R";"R"
467;"R";"R";"A"
468;"A";"R";"R"
469;"R";"A";"A"
470;"A";"R";"R"
471;"R";"R";"R"
472;"R";"R";"R"
473;"A";"A";"R"
474;"R";"R";"A"
475;"R";"R";"A"
476;"R";"R";"A"
477;"A";"R";"R"
478;"A";"A";"A"
479;"A";"R";"A"
480;"A";"A";"R"
481;"A";"R";"R"
482;"R";"A";"R"
483;"R";"R";"A"
484;"R";"R";"R"
485;"R";"R";"R"
486;"R";"A";"R"
487;"R";"R";"A"
488;"A";"R";"A"
489;"A";"R";"R"
490;"A";"R";"A"
491;"A";"A";"R"
492;"A";"A";"R"
493;"R";"A";"A"
494;"A";"R";"R"
495;"A";"R";"A"
496;"R";"A";"A"
497;"R";"R";"R"
498;"R";"R";"R"
499;"R";"A";"R"
500;"R";"R";"R"
501;"R";"R";"R"
502;"A";"R";"R"
503;"R";"R";"A"
504;"R";"A";"A"
505;"A";"R";"R"
506;"A";"R";"A"
507;"A";"R";"A"
508;"A";"A";"A"
509;"A";"A";"R"
510;"A";"A";"R"
511;"R";"R";"R"
512;"A";"R";"A"
513;"A";"R";"R"
514;"A";"R";"R"
515;"A";"R";"A"
516;"R";"A";"A"
517;"A";"A";"A"
518;"R";"R";"A"
519;"R";"A";"R"
520;"R";"R";"A"
521;"R";"R";"R"
522;"R";"A";"R"
523;"R";"A";"R"
524;"R";"R";"R"
525;"R";"R";"A"
526;"A";"A";"A"
527;"A";"R";"R"
528;"A";"A";"R"
529;"R";"A";"A"
530;"A";"A";"A"
531;"R";"A";"R"
532;"R";"A";"A"
533;"R";"R";"A"
534;"A";"R";"R"
535;"A";"A";"R"
536;"A";"R";"R"
537;"R";"R";"R"
538;"A";"R";"A"
539;"A";"A";"R"
540;"R";"A";"A"
541;"A";"A";"R"
542;"R";"R";"A"
543;"R";"R";"R"
544;"A";"A";"R"
545;"R";"A";"A"
546;"A";"A";"A"
547;"R";"A";"A"
548;"A";"R";"A"
549;"R";"A";"A"
550;"A";"R";"R"
551;"A";"A";"A"
552;"A";"A";"A"
553;"A";"R";"A"
554;"A";"R";"R"
555;"R";"A";"R"
556;"A";"R";"R"
557;"R";"R";"R"
558;"R";"R";"A"
559;"A";"R";"R"
560;"A";"A";"A"
561;"A";"A";"A"
562;"R";"A";"A"
563;"A";"R";"R"
564;"A";"A";"R"
565;"A";"A";"R"
566;"A";"A";"A"
567;"A";"A";"A"
568;"R";"A";"R"
569;"A";"A";"A"
570;"R";"R";"A"
571;"A";"R";"A"
572;"A";"R";"R"
573;"A";"R";"A"
574;"R";"A";"R"
575;"A";"R";"A"
576;"A";"A";"A"
577;"R";"R";"R"
578;"R";"A";"A"
579;"R";"A";"R"
580;"A";"R";"A"
581;"R";"R";"A"
582;"R";"R";"R"
583;"A";"A";"A"
584;"A";"R";"R"
585;"A";"R";"R"
586;"R";"A";"A"
587;"A";"A";"A"
588;"R";"R";"A"
589;"R";"R";"A"
590;"R";"R";"A"
591;"R";"A";"A"
592;"R";"R";"A"
593;"A";"A";"A"
594;"A";"R";"R"
595;"A";"R";"A"
596;"R";"R";"A"
597;"A";"A";"R"
598;"A";"R";"R"
599;"R";"R";"A"
600;"R";"R";"A"
601;"A";"A";"A"
602;"A";"R";"A"
603;"R";"A";"A"
604;"R";"A";"A"
605;"R";"R";"A"
606;"R";"A";"A"
607;"R";"A";"A"
608;"R";"A";"A"
609;"A";"A";"R"
610;"A";"A";"R"
611;"R";"R";"R"
612;"R";"R";"A"
613;"R";"R";"A"
614;"R";"A";"A"
615;"A";"R";"R"
616;"R";"R";"R"
617;"A";"A";"R"
618;"R";"R";"A"
619;"R";"A";"R"
620;"R";"A";"R"
621;"R";"R";"A"
622;"A";"A";"R"
623;"A";"A";"A"
624;"A";"R";"R"
625;"R";"R";"A"
626;"A";"R";"R"
627;"R";"R";"R"
628;"R";"A";"R"
629;"A";"R";"R"
630;"A";"A";"A"
631;"A";"R";"A"
632;"A";"A";"A"
633;"A";"A";"A"
634;"R";"R";"R"
635;"R";"A";"A"
636;"R";"R";"R"
637;"A";"A";"R"
638;"A";"R";"A"
639;"A";"R";"R"
640;"A";"A";"R"
641;"R";"A";"A"
642;"R";"A";"A"
643;"A";"A";"A"
644;"R";"R";"A"
645;"R";"R";"A"
646;"R";"A";"A"
647;"R";"R";"R"
648;"A";"A";"A"
649;"A";"R";"A"
650;"R";"R";"A"
651;"A";"A";"A"
652;"R";"R";"R"
653;"R";"R";"A"
654;"A";"A";"A"
655;"A";"R";"R"
656;"A";"A";"R"
657;"R";"R";"R"
658;"A";"A";"A"
659;"A";"R";"A"
660;"R";"A";"R"
661;"R";"A";"A"
662;"R";"R";"R"
663;"A";"R";"R"
664;"R";"A";"R"
665;"R";"R";"R"
666;"R";"R";"A"
667;"R";"A";"R"
668;"A";"R";"R"
669;"A";"R";"R"
670;"R";"A";"A"
671;"R";"R";"R"
672;"A";"A";"R"
673;"A";"A";"R"
674;"A";"R";"A"
675;"R";"A";"R"
676;"R";"R";"A"
677;"R";"R";"R"
678;"R";"A";"R"
679;"R";"A";"A"
680;"A";"A";"A"
681;"R";"R";"A"
682;"A";"R";"A"
683;"A";"R";"A"
684;"R";"R";"R"
685;"A";"A";"A"
686;"R";"A";"R"
687;"A";"R";"A"
688;"A";"R";"R"
689;"R";"A";"A"
690;"R";"A";"R"
691;"A";"R";"R"
692;"A";"A";"A"
693;"R";"A";"A"
694;"R";"R";"R"
695;"R";"A";"R"
696;"A";"A";"A"
697;"A";"R";"A"
698;"R";"R";"R"
699;"R";"R";"R"
700;"A";"R";"R"
701;"R";"A";"A"
702;"A";"R";"A"
703;"A";"A";"A"
704;"A";"A";"A"
705;"A";"R";"R"
706;"A";"R";"R"
707;"R";"A";"A"
708;"R";"R";"A"
709;"A";"R";"A"
710;"R";"R";"A"
711;"R";"R";"R"
712;"R";"A";"A"
713;"A";"A";"A"
714;"A";"R";"R"
715;"R";"R";"R"
716;"A";"R";"A"
717;"A";"R";"A"
718;"A";"R";"A"
719;"R";"A";"A"
720;"A";"R";"A"
721;"A";"A";"A"
722;"A";"A";"A"
723;"A";"A";"R"
724;"A";"A";"A"
725;"A";"A";"A"
726;"A";"R";"R"
727;"R";"R";"R"
728;"A";"R";"A"
729;"A";"A";"R"
730;"A";"R";"R"
731;"A";"A";"R"
732;"R";"R";"A"
733;"A";"R";"R"
734;"A";"R";"A"
735;"R";"R";"R"
736;"R";"R";"R"
737;"A";"R";"R"
738;"A";"R";"R"
739;"A";"A";"R"
740;"R";"R";"R"
741;"R";"A";"R"
742;"R";"R";"R"
743;"R";"R";"A"
744;"A";"A";"A"
745;"R";"A";"R"
746;"R";"R";"A"
747;"A";"A";"A"
748;"R";"R";"A"
749;"A";"R";"R"
750;"A";"A";"A"
751;"R";"R";"R"
752;"R";"A";"A"
753;"A";"R";"R"
754;"R";"A";"A"
755;"R";"A";"R"
756;"R";"A";"R"
757;"R";"A";"A"
758;"R";"R";"A"
759;"A";"R";"A"
760;"A";"R";"R"
761;"R";"A";"R"
762;"A";"R";"A"
763;"A";"A";"A"
764;"R";"A";"R"
765;"A";"R";"R"
766;"R";"A";"A"
767;"R";"R";"R"
768;"R";"A";"R"
769;"R";"R";"R"
770;"R";"R";"A"
771;"A";"R";"R"
772;"R";"A";"R"
773;"R";"R";"R"
774;"A";"R";"A"
775;"R";"A";"R"
776;"R";"R";"R"
777;"R";"A";"R"
778;"A";"R";"A"
779;"A";"A";"R"
780;"R";"A";"R"
781;"A";"A";"R"
782;"A";"A";"A"
783;"R";"R";"R"
784;"A";"R";"A"
785;"A";"R";"R"
786;"A";"R";"R"
787;"R";"R";"R"
788;"R";"A";"A"
789;"R";"A";"R"
790;"R";"R";"R"
791;"A";"R";"A"
792;"A";"R";"A"
793;"A";"R";"A"
794;"R";"A";"A"
795;"A";"A";"R"
796;"R";"R";"A"
797;"A";"R";"A"
798;"A";"R";"A"
799;"R";"A";"A"
800;"A";"R";"R"
801;"R";"A";"R"
802;"R";"A";"A"
803;"R";"R";"A"
804;"A";"R";"A"
805;"R";"R";"A"
806;"A";"A";"R"
807;"A";"R";"A"
808;"A";"R";"R"
809;"R";"A";"A"
810;"A";"R";"R"
811;"R";"A";"R"
812;"R";"A";"A"
813;"R";"A";"A"
814;"A";"A";"A"
815;"A";"R";"A"
816;"R";"R";"A"
817;"A";"R";"R"
818;"A";"R";"A"
819;"R";"R";"A"
820;"R";"A";"A"
821;"A";"A";"A"
822;"R";"R";"A"
823;"R";"R";"R"
824;"R";"R";"A"
825;"R";"R";"R"
826;"A";"A";"A"
827;"A";"R";"A"
828;"R";"R";"R"
829;"R";"R";"A"
830;"R";"R";"A"
831;"A";"R";"A"
832;"R";"A";"A"
833;"R";"R";"R"
834;"A";"R";"A"
835;"R";"R";"A"
836;"R";"A";"R"
837;"A";"R";"A"
838;"R";"R";"A"
839;"R";"R";"R"
840;"R";"A";"A"
841;"R";"R";"R"
842;"R";"A";"A"
843;"A";"A";"A"
844;"A";"R";"A"
845;"A";"R";"A"
846;"A";"A";"A"
847;"A";"R";"R"
848;"R";"A";"R"
849;"R";"A";"R"
850;"A";"R";"A"
851;"R";"R";"A"
852;"A";"A";"A"
853;"A";"R";"R"
854;"A";"A";"A"
855;"A";"R";"A"
856;"R";"A";"A"
857;"A";"R";"R"
858;"R";"R";"R"
859;"R";"A";"A"
860;"A";"R";"R"
861;"R";"R";"A"
862;"A";"A";"R"
863;"A";"R";"A"
864;"A";"A";"R"
865;"R";"R";"R"
866;"A";"R";"A"
867;"R";"A";"R"
868;"R";"R";"A"
869;"R";"A";"R"
870;"A";"R";"A"
871;"A";"R";"A"
872;"A";"R";"A"
873;"A";"A";"R"
874;"R";"A";"A"
875;"R";"R";"A"
876;"R";"A";"R"
877;"A";"A";"R"
878;"A";"R";"A"
879;"A";"A";"R"
880;"R";"R";"A"
881;"R";"R";"A"
882;"A";"R";"R"
883;"R";"A";"R"
884;"A";"A";"R"
885;"R";"A";"A"
886;"A";"A";"A"
887;"A";"A";"A"
888;"A";"R";"A"
889;"R";"A";"A"
890;"R";"R";"R"
891;"R";"R";"A"
892;"A";"R";"R"
893;"R";"A";"R"
894;"A";"R";"R"
895;"A";"A";"R"
896;"A";"A";"A"
897;"A";"R";"A"
898;"R";"R";"A"
899;"A";"A";"R"
900;"R";"R";"A"
901;"A";"A";"R"
902;"A";"R";"R"
903;"A";"A";"R"
904;"R";"A";"A"
905;"A";"R";"A"
906;"A";"A";"R"
907;"A";"A";"A"
908;"A";"A";"A"
909;"R";"A";"R"
910;"R";"A";"A"
911;"R";"R";"A"
912;"R";"A";"A"
913;"A";"A";"A"
914;"R";"A";"A"
915;"R";"R";"A"
916;"A";"R";"A"
917;"R";"A";"A"
918;"A";"R";"R"
919;"A";"R";"R"
920;"A";"R";"A"
921;"R";"A";"A"
922;"A";"R";"A"
923;"A";"R";"A"
924;"A";"R";"R"
925;"A";"A";"A"
926;"A";"R";"R"
927;"R";"A";"R"
928;"R";"R";"A"
929;"A";"R";"R"
930;"A";"R";"R"
931;"A";"A";"A"
932;"A";"R";"A"
933;"R";"A";"R"
934;"A";"R";"R"
935;"R";"R";"A"
936;"A";"R";"A"
937;"R";"R";"A"
938;"R";"R";"R"
939;"A";"R";"R"
940;"A";"R";"R"
941;"A";"R";"A"
942;"R";"A";"R"
943;"A";"R";"R"
944;"A";"R";"R"
945;"A";"R";"A"
946;"A";"R";"A"
947;"A";"A";"R"
948;"R";"R";"A"
949;"A";"A";"A"
950;"R";"R";"A"
951;"R";"A";"R"
952;"A";"R";"A"
953;"R";"R";"R"
954;"R";"A";"R"
955;"A";"R";"A"
956;"R";"A";"A"
957;"A";"R";"R"
958;"A";"A";"R"
959;"A";"R";"A"
960;"R";"R";"R"
961;"R";"A";"R"
962;"A";"A";"A"
963;"R";"R";"A"
964;"R";"R";"R"
965;"R";"R";"R"
966;"A";"R";"A"
967;"A";"R";"R"
968;"A";"R";"A"
969;"A";"A";"R"
970;"A";"A";"R"
971;"A";"R";"R"
972;"R";"R";"R"
973;"R";"R";"A"
974;"A";"R";"A"
975;"A";"R";"R"
976;"R";"R";"A"
977;"R";"R";"R"
978;"A";"R";"A"
979;"A";"R";"A"
980;"A";"R";"R"
981;"A";"R";"R"
982;"R";"A";"A"
983;"R";"R";"A"
984;"A";"A";"A"
985;"R";"R";"R"
986;"A";"A";"R"
987;"A";"R";"A"
988;"A";"R";"R"
989;"R";"R";"A"
990;"A";"R";"R"
991;"A";"A";"A"
992;"R";"A";"A"
993;"R";"A";"R"
994;"R";"R";"R"
995;"R";"R";"A"
996;"A";"R";"A"
997;"A";"A";"R"
998;"A";"R";"A"
999;"A";"R";"R"
1000;"A";"A";"R"
1001;"A";"A";"R"
1002;"R";"R";"R"
1003;"A";"R";"R"
1004;"A";"R";"A"
1005;"A";"R";"R"
1006;"R";"A";"R"
1007;"R";"R";"A"
1008;"A";"R";"A"
1009;"A";"A";"A"
1010;"A";"A";"A"
1011;"A";"A";"A"
1012;"R";"R";"R"
1013;"R";"R";"A"
1014;"R";"R";"A"
1015;"R";"R";"A"
1016;"A";"A";"R"
1017;"R";"R";"R"
1018;"R";"R";"R"
1019;"A";"R";"R"
1020;"A";"A";"A"
1021;"A";"R";"R"
1022;"R";"R";"A"
1023;"R";"R";"R"
1024;"A";"A";"A"
1025;"A";"A";"R"
1026;"R";"R";"R"
1027;"R";"A";"A"
1028;"R";"A";"A"
1029;"A";"R";"A"
1030;"R";"R";"A"
1031;"R";"A";"A"
1032;"R";"R";"R"
1033;"A";"A";"R"
1034;"R";"A";"A"
1035;"R";"A";"A"
1036;"A";"R";"A"
1037;"R";"A";"A"
1038;"A";"A";"R"
1039;"R";"R";"R"
1040;"A";"A";"A"
1041;"A";"A";"A"
1042;"R";"R";"R"
1043;"R";"A";"R"
1044;"A";"A";"A"
1045;"A";"A";"A"
1046;"R";"A";"A"
1047;"R";"A";"A"
1048;"A";"R";"A"
1049;"A";"A";"A"
1050;"A";"A";"R"
1051;"R";"A";"R"
1052;"A";"R";"A"
1053;"A";"R";"R"
1054;"R";"R";"A"
1055;"A";"R";"R"
1056;"R";"R";"A"
1057;"A";"A";"R"
1058;"A";"R";"R"
1059;"R";"A";"A"
1060;"R";"R";"A"
1061;"A";"R";"A"
1062;"A";"R";"R"
1063;"R";"A";"A"
1064;"A";"R";"R"
1065;"A";"R";"A"
1066;"A";"R";"A"
1067;"R";"R";"A"
1068;"R";"R";"A"
1069;"R";"R";"A"
1070;"R";"A";"A"
1071;"R";"A";"A"
1072;"A";"R";"A"
1073;"A";"A";"A"
1074;"A";"A";"A"
1075;"R";"A";"A"
1076;"R";"R";"R"
1077;"R";"R";"R"
1078;"A";"R";"A"
1079;"R";"R";"A"
1080;"A";"R";"A"
1081;"R";"R";"R"
1082;"R";"R";"A"
1083;"A";"R";"R"
1084;"A";"A";"A"
1085;"A";"A";"R"
1086;"R";"R";"R"
1087;"R";"R";"A"
1088;"R";"A";"A"
1089;"R";"A";"A"
1090;"R";"R";"R"
1091;"R";"A";"A"
1092;"R";"A";"A"
1093;"A";"A";"R"
1094;"A";"A";"A"
1095;"A";"R";"R"
1096;"A";"R";"A"
1097;"R";"A";"R"
1098;"A";"A";"R"
1099;"A";"R";"R"
1100;"A";"R";"A"
1101;"R";"A";"A"
1102;"R";"A";"A"
1103;"A";"A";"R"
1104;"R";"A";"R"
1105;"A";"R";"A"
1106;"R";"A";"R"
1107;"R";"R";"A"
1108;"A";"R";"R"
1109;"R";"A";"A"
1110;"R";"R";"A"
1111;"R";"R";"A"
1112;"A";"R";"A"
1113;"A";"R";"A"
1114;"A";"R";"A"
1115;"R";"A";"R"
1116;"A";"A";"A"
1117;"R";"R";"A"
1118;"R";"R";"A"
1119;"A";"A";"A"
1120;"R";"A";"R"
1121;"R";"R";"R"
1122;"A";"R";"A"
1123;"A";"A";"A"
1124;"A";"A";"A"
1125;"R";"A";"A"
1126;"R";"R";"A"
1127;"A";"R";"A"
1128;"A";"A";"R"
1129;"R";"A";"A"
1130;"A";"A";"R"
1131;"R";"A";"R"
1132;"R";"A";"R"
1133;"R";"R";"A"
1134;"R";"A";"A"
1135;"R";"A";"R"
1136;"A";"R";"A"
1137;"A";"A";"A"
1138;"R";"R";"A"
1139;"A";"A";"A"
1140;"A";"A";"A"
1141;"A";"R";"A"
1142;"A";"A";"R"
1143;"R";"R";"A"
1144;"A";"R";"A"
1145;"R";"R";"R"
1146;"A";"A";"R"
1147;"R";"A";"A"
1148;"R";"A";"A"
1149;"A";"R";"R"
1150;"A";"R";"R"
